customer_id,customer_name,signup_date,region,email
1,Joseph Williams,2024-01-24,Asia,lewisnicole@example.com
2,Ronald Anderson,2024-01-08,Europe,sharonbeck@example.org
3,Eric White,2024-02-25,North America,jennifersmith@example.net
4,Christopher Guzman,2024-04-03,North America,cruzandrew@example.org
5,Christine Tanner,2024-10-10,South America,derrick64@example.org
6,Carl Johnson,2024-06-21,Asia,tyler00@example.net
7,Brittany Olson,2024-02-09,Africa,scottsamantha@example.net
8,Marissa Perez,2024-09-11,Asia,carpenterdeborah@example.com
9,Mason Jenkins,2024-12-04,North America,hortonjennifer@example.net
10,Mr. Francisco Stevenson,2024-12-16,Asia,james74@example.org
11,Zachary Wiley,2024-06-10,Asia,barbara32@example.com
12,Bradley Davis,2024-11-29,North America,cburnett@example.org
13,Sandra Payne,2024-03-17,Asia,billy38@example.org
14,Betty Li,2024-09-15,South America,melissabishop@example.net
15,Lisa Flores,2024-06-13,South America,mwoods@example.net
16,Kelly Cohen,2024-10-20,Asia,fuentescurtis@example.net
17,Christina Kim,2024-10-22,North America,reesenatasha@example.com
18,Erik Johnson,2024-03-20,Africa,williamssandra@example.net
19,Shawn Norman,2024-08-20,Africa,dflynn@example.net
20,Haley Martinez,2024-05-27,Africa,ohowe@example.net
21,Michael Torres,2024-06-11,Asia,chad87@example.org
22,Sara Stephens,2024-09-11,North America,denise94@example.net
23,Erica Griffin,2024-04-16,South America,johnsonzachary@example.org
24,Sarah House,2024-11-16,Europe,rebeccawest@example.net
25,Paula Short,2024-11-06,North America,frodriguez@example.org
26,Henry Thomas,2024-02-15,North America,cjacobson@example.net
27,Joanna Acevedo,2024-01-19,South America,johnallen@example.com
28,Michael Kirby,2024-03-02,Europe,craigshawn@example.net
29,Megan Wilson,2024-06-18,South America,fernandezmichael@example.net
30,Jessica Johnston,2024-03-02,South America,michael32@example.net
31,Casey Reed,2024-04-06,Asia,lisagarner@example.com
32,Ronald Sweeney,2024-03-24,Europe,tiffanyroberts@example.com
33,Dakota Anderson,2024-01-19,Europe,criggs@example.com
34,Mary Martin,2024-01-18,Africa,pamela83@example.com
35,Michele Butler,2024-08-18,Asia,hallamanda@example.com
36,Carla Arnold,2024-11-05,Asia,stricklandjennifer@example.net
37,Laura Pollard,2024-05-24,North America,lewisjason@example.org
38,Meghan Nelson,2024-05-14,Europe,jacob09@example.net
39,Matthew Barrett,2024-08-20,Africa,vegadeanna@example.com
40,Michael Myers,2024-10-02,Africa,mblack@example.com
41,Samantha Rodriguez,2024-11-08,Asia,jose98@example.com
42,Douglas Taylor,2024-02-09,Africa,dnelson@example.net
43,Daniel Thompson,2024-02-25,North America,cathy00@example.net
44,Martha Logan,2024-10-15,Asia,ucurtis@example.com
45,Johnny Trevino,2024-10-11,Africa,kennethsmith@example.net
46,Kimberly Edwards,2024-04-05,Europe,kelly61@example.org
47,Christopher Hill,2024-03-01,Asia,cindygreen@example.com
48,Benjamin Johnson,2024-04-26,Europe,shannonpace@example.org
49,Maria Goodman,2024-11-05,Asia,ocarroll@example.net
50,Matthew Romero,2024-07-28,North America,patriciabaker@example.com
51,John Anderson,2024-12-03,North America,alec09@example.net
52,Brian Richardson,2024-03-17,Europe,lucerojohn@example.com
53,Erika Lindsey,2024-11-19,South America,yateskevin@example.com
54,Lisa Gross,2024-11-27,Africa,phillipsmichael@example.net
55,Holly Villa,2024-10-29,North America,gloriasmith@example.net
